Hugo_Symbol	Entrez_Gene_Id	Patient_example_TD
LY86-AS1	285780	1
SNAPC5P1	100750245	1
CNN3P1	643875	1
LY86	9450	1
BTF3P7	652960	1
RN7SL554P	106479423	1
RREB1	6239	2
SSR1	6745	2
CAGE1	285782	1
RIOK1	83732	1
HNRNPLP1	442157	1
DSP	1832	1
SNRNP48	154007	1
BMP6	654	1
TXNDC5	81567	1
BLOC1S5-TXNDC5	100526836	1
PIP5K1P1	206426	1
BLOC1S5	63915	1
EEF1E1-BLOC1S5	100526837	1
EEF1E1	9521	1
SLC35B3	51000	1
HULC	728655	1
OFCC1	266553	1
RNU6ATAC21P	106479552	1
TFAP2A	7020	2
TFAP2A-AS1	100130275	2
GCM2	9247	2
SYCP2L	221711	2
ELOVL2	54898	1
ELOVL2-AS1	100506409	1
SMIM13	221710	1
ERVFRD-1	405754	1
NEDD9	4739	1
RNU1-64P	106480168	1
THAP12P5	100129074	1
TMEM170B	100113407	1
ADTRP	84830	1
AMD1P4	100129761	1
HIVEP1	3096	1
EDN1	1906	1
SUMO2P12	106480262	1
RN7SKP293	106480923	1
RPL15P3	653232	1
LINC02530	101928309	1
PHACTR1	221692	1
RNU1-11P	26861	1
TBC1D7	51256	1
GFOD1	54438	1
GFOD1-AS1	100874025	1
RPS4XP7	442162	1
RN7SKP204	106480896	1
SIRT5	23408	1
NOL7	51406	1
RANBP9	10048	1
MCUR1	63933	1
RNF182	221687	1
MRPL35P1	359742	1
CD83	9308	1
RNU7-133P	106479075	1
LINC01108	102216342	1
RNU6-793P	106479917	1
RN7SL332P	106479345	1
JARID2	3720	1
JARID2-AS1	100506681	1
RNU6-522P	106479797	1
RNU6-645P	106479852	1
DTNBP1	84062	1
ARPC3P5	441131	1
LINC02543	101928406	1
MYLIP	29116	1
MIR4639	100616269	1
MRPL42P2	346116	1
RNU6-1114P	106481531	1
GMPR	2766	1
ATXN1	6310	2
ATXN1-AS1	101928433	2
STMND1	401236	2
RBM24	221662	1
CAP2	10486	1
RPL7P26	728380	1
SUMO2P13	106480263	1
FAM8A1	51439	1
NUP153	9972	1
RNU6-190P	106481236	1
RNA5SP204	100873465	1
KIF13A	63971	1
NHLRC1	378884	1
TPMT	7172	1
KDM1B	221656	1
DEK	7913	1
RNU6-263P	106479683	1
DDX18P3	442164	1
RNF144B	255488	1
MIR548A1HG	105374956	1
MIR548A1	693125	1
LNC-LBCS	115561815	1
RPL5P20	100131913	1
RNA5SP205	100873466	1
KRT18P38	441133	1
UQCRFS1P3	100130994	1
RNU6-801P	106479920	1
ID4	3400	1
MBOAT1	154141	1
E2F3	1871	1
RN7SL128P	106481826	1
E2F3-IT1	100874268	1
RNU6-141P	106480555	1
CDKAL1	54901	1
RNU6-150P	106479632	1
LINC00581	100874531	1
SOX4	6659	1
BOLA2P3	106480323	1
CASC15	401237	1
RN7SKP240	106479202	1
NBAT1	729177	1
PRL	5617	1
HDGFL1	154150	1
RNU6-1060P	106480032	1
SPTLC1P2	100874498	1
HNRNPA1P58	100289286	1
NRSN1	140767	1
DCDC2	51473	1
KAAG1	353219	1
RNU6-391P	106479739	1
MRS2	57380	1
GPLD1	2822	1
ALDH5A1	7915	1
KIAA0319	9856	1
KRT8P43	100289319	1
TDP2	51567	1
ACOT13	55856	1
